num_critic_for_reviews,gross,movie_title,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes
205.0,611709.0,Le Havre ,15267,41.0,7.2,0
133.0,29580087.0,Did You Hear About the Morgans? ,29523,121.0,4.7,0
2.0,31662.0,Operation Chromite ,90,1.0,6.8,139
85.0,45661.0,Shotgun Stories ,7148,32.0,7.3,773
139.0,42365600.0,Time Bandits ,45890,177.0,7.0,0
146.0,2849142.0,Things We Lost in the Fire ,24104,88.0,7.2,0
56.0,8406264.0,Pushing Tin ,24826,175.0,6.0,783
48.0,32101000.0,The Lawnmower Man ,27800,96.0,5.4,0
110.0,56702901.0,A Civil Action ,23302,181.0,6.5,1000
22.0,115504.0,The Other End of the Line ,4820,26.0,6.2,0
79.0,3287435.0,Thirteen Conversations About One Thing ,8603,115.0,7.1,430
108.0,21468807.0,Urban Legends: Final Cut ,13048,227.0,4.1,243
168.0,8579684.0,Death at a Funeral ,89547,199.0,7.4,0
220.0,17508670.0,Notes on a Scandal ,64625,281.0,7.4,0
106.0,22406362.0,The Alamo ,16832,267.0,6.0,701
50.0,14095303.0,Maximum Risk ,15814,68.0,5.4,503
51.0,155972.0,The Bubble ,4702,23.0,7.3,0
135.0,13395939.0,Alfie ,43442,146.0,6.2,0
61.0,24705.0,The Exploding Girl ,1516,10.0,6.3,377
65.0,12189514.0,Chasing Liberty ,30092,129.0,6.1,0
49.0,1789892.0,Clay Pigeons ,9494,109.0,6.6,515
196.0,39511038.0,The Texas Chainsaw Massacre: The Beginning ,56269,366.0,5.9,0
127.0,38120554.0,Treasure Planet ,71527,217.0,7.1,0
104.0,22433915.0,City by the Sea ,21319,166.0,6.2,416
118.0,50818750.0,The Tale of Despereaux ,31209,106.0,6.1,0
106.0,106869.0,Escobar: Paradise Lost ,13762,39.0,6.6,0
66.0,21088568.0,Tales from the Crypt: Demon Knight ,16646,104.0,6.7,0
264.0,51527787.0,My Bloody Valentine ,45603,268.0,5.5,0
160.0,14637490.0,My Soul to Take ,16411,136.0,4.8,0
43.0,9123834.0,Peeples ,4065,33.0,5.3,0
35.0,3123749.0,Boynton Beach Club ,746,27.0,6.5,88
70.0,2899970.0,Cradle Will Rock ,8039,161.0,6.9,625
162.0,26687172.0,Winnie the Pooh ,15600,55.0,7.3,0
15.0,4350774.0,PCU ,10476,52.0,6.5,0
194.0,13823741.0,The Duchess ,61777,140.0,6.9,0
41.0,22551000.0,Much Ado About Nothing ,37269,165.0,7.4,0
23.0,352684.0,Khiladi 786 ,4633,31.0,4.3,365
51.0,900926.0,The Brothers Solomon ,9517,46.0,5.3,319
16.0,140987.0,Free Style ,361,4.0,4.2,58
46.0,535249.0,The Virginity Hit ,3467,13.0,4.6,974
81.0,5308707.0,Made ,15053,165.0,6.4,393
3.0,243768.0,The Legend of God's Gun ,143,9.0,4.1,13
113.0,19406406.0,Oceans ,7630,42.0,7.8,0
38.0,325491.0,City of Ghosts ,4387,67.0,6.0,204
89.0,85416609.0,The SpongeBob SquarePants Movie ,58906,186.0,7.0,0
78.0,58297830.0,Anastasia ,86347,191.0,7.1,0
58.0,13592872.0,The Ladies Man ,10777,79.0,5.1,671
85.0,28165882.0,The Prince and Me ,31984,154.0,5.9,0
84.0,1029017.0,A Home at the End of the World ,12049,135.0,6.8,1000
110.0,7022940.0,Kissing Jessica Stein ,14018,190.0,6.7,682
70.0,54967359.0,Spawn ,52805,209.0,5.2,0
121.0,62700000.0,Moonraker ,69534,294.0,6.3,0
84.0,274661.0,Taxi to the Dark Side ,10564,40.0,7.7,0
152.0,58715510.0,Bride Wars ,79094,129.0,5.4,0
136.0,31874869.0,Murder by Numbers ,43575,302.0,6.1,0
101.0,17596256.0,Furry Vengeance ,12399,84.0,3.8,0
136.0,31874869.0,Murder by Numbers ,43574,302.0,6.1,0
140.0,578382.0,All Good Things ,41249,67.0,6.3,0
116.0,40334024.0,Heartbreakers ,44168,216.0,6.2,989
40.0,1181197.0,Slow Burn ,3299,24.0,5.9,191
67.0,6851636.0,200 Cigarettes ,13010,182.0,5.9,0
109.0,353743.0,Buffalo Soldiers ,20730,111.0,6.9,664
152.0,2912363.0,Tsotsi ,25063,177.0,7.3,0
8.0,8231.0,Pink Narcissus ,803,16.0,6.7,85
115.0,1243961.0,"For a Good Time, Call... ",13421,34.0,6.0,0
98.0,26288320.0,Sinbad: Legend of the Seven Seas ,36144,91.0,6.7,880
116.0,864959.0,Mirrormask ,20275,151.0,6.9,0
76.0,61112916.0,The Shaggy Dog ,14888,83.0,4.4,747
8.0,29392418.0,A Low Down Dirty Shame ,3924,26.0,5.8,368
224.0,1818681.0,Harry Brown ,74435,224.0,7.2,0
80.0,48423368.0,Return to Never Land ,13324,79.0,5.8,302
200.0,136432.0,Severance ,31890,194.0,6.6,0
183.0,1304837.0,The Good German ,21481,175.0,6.1,559
113.0,10996440.0,The Astronaut Farmer ,19707,128.0,6.3,862
196.0,24407944.0,Elektra ,71202,380.0,4.8,0
105.0,8355815.0,Death to Smoochy ,34730,341.0,6.4,0
30.0,220234.0,Ira & Abby ,1950,24.0,6.5,360
134.0,3108216.0,Our Kind of Traitor ,2587,21.0,6.4,0
27.0,3060858.0,Malone ,1768,37.0,5.6,208
117.0,38966057.0,Primary Colors ,23940,157.0,6.7,688
137.0,51768623.0,Finding Forrester ,73006,297.0,7.3,0
32.0,536767.0,20 Dates ,1622,83.0,5.3,30
177.0,22331028.0,Project Almanac ,57349,177.0,6.4,0
75.0,65000000.0,The American President ,43027,214.0,6.8,0
83.0,65500000.0,Witness ,66966,175.0,7.4,0
68.0,3064356.0,Sunshine State ,3433,81.0,6.9,160
52.0,6543194.0,I Dreamed of Africa ,3740,61.0,5.6,314
83.0,28873374.0,One Direction: This Is Us ,22161,68.0,4.1,0
79.0,34099640.0,My Dog Skip ,16651,149.0,7.0,0
127.0,1987287.0,Oliver Twist ,25474,138.0,6.9,0
32.0,29200000.0,The Rose ,6142,52.0,6.9,1000
13.0,428535.0,Luminarias ,505,32.0,3.6,24
161.0,67061228.0,The Bounty Hunter ,96565,135.0,5.5,0
32.0,9109322.0,Superbabies: Baby Geniuses 2 ,25371,129.0,1.9,0
27.0,2246000.0,Courage ,2302,20.0,7.0,0
135.0,24185781.0,Hearts in Atlantis ,30339,268.0,6.9,0
106.0,5755286.0,Lucky You ,18310,63.0,5.9,672
145.0,449558.0,The Damned United ,32307,75.0,7.6,0
115.0,274385.0,Soul Kitchen ,29203,26.0,7.3,0
112.0,2706659.0,The History Boys ,17770,172.0,6.9,0
70.0,16290976.0,Muppets from Space ,14637,100.0,6.2,619
55.0,22326247.0,At First Sight ,11232,106.0,5.9,0
140.0,298110.0,Fido ,25055,98.0,6.8,0
93.0,67155742.0,Dante's Peak ,62271,277.0,5.8,0
38.0,206400.0,Alias Betty ,1439,26.0,6.9,26
34.0,528972.0,Earth ,5639,55.0,7.8,522
17.0,7826.0,Certifiably Jonathan ,132,2.0,6.2,87
9.0,902835.0,American Desi ,1489,40.0,6.7,133
141.0,317125.0,Adore ,23334,87.0,6.2,0
106.0,2365931.0,Buffalo '66 ,36657,318.0,7.5,0
100.0,621240.0,Ajami ,4999,32.0,7.4,0
23.0,1977544.0,The Incredibly True Adventure of Two Girls in Love ,3513,36.0,6.5,423
75.0,13558739.0,Tomcats ,15427,121.0,5.3,449
110.0,42640890.0,Because I Said So ,32412,184.0,5.6,0
40.0,5355847.0,October Baby ,6110,82.0,6.8,0
143.0,469947.0,Weekend ,19846,68.0,7.7,0
,23616.0,Arnolds Park ,94,4.0,5.6,11
262.0,3958500.0,Mr. Turner ,17933,165.0,6.8,0
40.0,17278980.0,Half Baked ,48225,164.0,6.7,0
44.0,11466088.0,Turbulence ,8983,84.0,4.7,316
60.0,181798.0,The Flower of Evil ,2591,36.0,6.6,52
48.0,4142507.0,Whipped ,3665,81.0,4.4,131
97.0,30222640.0,Honey ,36666,144.0,5.3,0
165.0,4857376.0,"Paris, je t'aime ",63084,123.0,7.3,0
138.0,87704396.0,Entrapment ,88132,274.0,6.2,0
29.0,9628751.0,Digimon: The Movie ,5164,65.0,5.9,207
21.0,375474.0,The Game of Their Lives ,2613,46.0,6.2,445
103.0,1043487.0,Velvet Goldmine ,27766,314.0,7.0,0
65.0,16247775.0,The Perfect Man ,23527,104.0,5.5,767
121.0,21078145.0,Antwone Fisher ,26493,159.0,7.3,0
11.0,1111.0,The Trials of Darryl Hunt ,771,10.0,7.7,246
22.0,10769960.0,Gettysburg ,21940,256.0,7.7,0
59.0,10556196.0,Mad City ,16562,73.0,6.2,697
