director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes,num_critic_for_reviews,gross,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes,genre_Drama,genre_Comedy,genre_Romance,genre_Thriller,genre_Crime,genre_Action,genre_Adventure,genre_Horror,genre_Family,genre_Fantasy,genre_other,profit,pop_est,gdp_md,actor_1_degree,actor_1_closeness,actor_1_betweenness,actor_2_degree,actor_2_closeness,actor_2_betweenness,actor_3_degree,actor_3_closeness,actor_3_betweenness
David Mamet,110.0,342.0,393.0,Felicity Huffman,623.0,"['Drama', 'Mystery', 'Thriller']",Ben Gazzara,The Spanish Prisoner ,1722,Campbell Scott,English,USA,PG,10000000.0,508.0,97.0,10200000,18697,263.0,7.3,578,True,False,False,True,False,False,False,False,False,False,True,200000.0,328239523.0,21433226.0,6.0,0.07688994422662765,0.004953058702964477,6.0,0.08357830889580174,0.011591412209449831,6.0,0.07366922918198797,0.0018200972290682053
Jacques Perrin,104.0,63.0,7.0,Jacques Perrin,67.0,"['Documentary', 'Drama']",Pedro Armendáriz Jr.,Oceans ,152,Rie Miyazawa,French,France,G,40000000.0,63.0,113.0,19406406,7630,42.0,7.8,0,True,False,False,False,False,False,False,False,False,False,True,-20593594.0,67059887.0,2715518.0,4.0,0.001978021978021978,3.092773541322354e-06,2.0,0.0013186813186813187,0.0,2.0,0.0013186813186813187,0.0
Renny Harlin,125.0,212.0,394.0,Alan Ford,613.0,"['Horror', 'Mystery', 'Thriller']",James D'Arcy,Exorcist: The Beginning ,1970,Izabella Scorupco,English,USA,R,50000000.0,422.0,167.0,41814863,28635,308.0,5.1,893,False,False,False,True,False,False,False,True,False,False,True,-8185137.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
Jerry Zucker,134.0,109.0,249.0,Ben Cross,919.0,"['Action', 'Adventure', 'Romance', 'Thriller']",Julia Ormond,First Knight ,1695,John Gielgud,English,USA,PG-13,55000000.0,303.0,53.0,37600435,55350,180.0,5.9,0,False,False,True,True,False,True,True,False,False,False,False,-17399565.0,328239523.0,21433226.0,4.0,0.07732709488868682,0.005737743832150757,3.0,0.06971681923270943,0.0005752151420625449,7.0,0.07135042621169924,0.006479029708450663
Kenny Ortega,111.0,197.0,6.0,Mekia Cox,433.0,"['Documentary', 'Music']",Misha Gabriel Hamilton,This Is It ,679,Judith Hill,English,USA,PG,60000000.0,208.0,136.0,71844424,33158,223.0,7.3,0,False,False,False,False,False,False,False,False,False,False,True,11844424.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
David McNally,89.0,18.0,226.0,Dyan Cannon,658.0,"['Action', 'Adventure', 'Comedy', 'Crime']",Estella Warren,Kangaroo Jack ,1233,Bill Hunter,English,USA,PG,60000000.0,257.0,73.0,66734992,23476,181.0,4.4,858,False,True,False,False,True,True,True,False,False,False,False,6734992.0,328239523.0,21433226.0,4.0,0.07661083440279835,0.0018185508422975442,4.0,0.06679514962828288,0.0009108218079194332,2.0,0.06678057349088445,0.0
Brian Levant,94.0,32.0,626.0,Harvey Korman,854.0,"['Comedy', 'Family']",Jim Belushi,Jingle All the Way ,4530,Jake Lloyd,English,USA,PG,60000000.0,628.0,81.0,60573641,68406,162.0,5.4,0,False,True,False,False,False,False,False,False,True,False,False,573641.0,328239523.0,21433226.0,4.0,0.05939867585830319,0.0009108218079194332,2.0,0.05330464692945097,0.0,2.0,0.05330464692945097,0.0
Jon Avnet,124.0,50.0,672.0,Stockard Channing,1000.0,"['Drama', 'Romance']",Joe Mantegna,Up Close & Personal ,3653,Raymond Cruz,English,USA,PG-13,60000000.0,944.0,34.0,51045801,11370,54.0,6.1,829,True,False,True,False,False,False,False,False,False,False,False,-8954199.0,328239523.0,21433226.0,10.0,0.05925490909516469,0.005576300149990317,6.0,0.06566995236523135,0.009163326517265443,2.0,0.058636132979877,0.0
Kevin Donovan,98.0,11.0,107.0,Debi Mazar,966.0,"['Action', 'Comedy', 'Sci-Fi']",Romany Malco,The Tuxedo ,2018,Ritchie Coster,English,USA,PG-13,60000000.0,680.0,81.0,50189179,61966,207.0,5.3,797,False,True,False,False,False,True,False,False,False,False,True,-9810821.0,328239523.0,21433226.0,2.0,0.0676366400755836,0.0,6.0,0.07775936425409175,0.0037988808177747166,2.0,0.0676366400755836,0.0
Geoff Murphy,92.0,14.0,488.0,Brenda Bakke,789.0,"['Action', 'Thriller']",Peter Greene,Under Siege 2: Dark Territory ,2318,Patrick Kilpatrick,English,USA,R,60000000.0,520.0,47.0,50024083,35918,126.0,5.4,1000,False,False,False,True,False,True,False,False,False,False,False,-9975917.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
John Pasquin,115.0,11.0,642.0,Diedrich Bader,1000.0,"['Action', 'Comedy', 'Crime']",Eileen Brennan,Miss Congeniality 2: Armed and Fabulous ,4305,Treat Williams,English,USA,PG-13,45000000.0,759.0,111.0,48472213,51252,156.0,5.0,621,False,True,False,False,True,True,False,False,False,False,False,3472213.0,328239523.0,21433226.0,4.0,0.06659166097747318,0.0018152419678993375,8.0,0.06895492970301444,0.006743653771923652,4.0,0.06703657787995138,0.0008208425015812875
Clark Johnson,107.0,69.0,206.0,David Rasche,310.0,"['Action', 'Crime', 'Thriller']",Blair Brown,The Sentinel ,1352,Martin Donovan,English,USA,PG-13,60000000.0,219.0,161.0,36279230,42144,213.0,6.1,690,False,False,False,True,True,True,False,False,False,False,False,-23720770.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
Joel Coen,100.0,0.0,210.0,Paul Adelstein,436.0,"['Comedy', 'Crime', 'Romance']",Cedric the Entertainer,Intolerable Cruelty ,1395,Julia Duffy,English,USA,PG-13,60000000.0,399.0,161.0,35096190,76560,322.0,6.3,0,False,True,True,False,True,False,False,False,False,False,False,-24903810.0,328239523.0,21433226.0,10.0,0.08168209743012893,0.00958996420550827,4.0,0.07307115043504728,0.0011470223628303005,2.0,0.07127564411831327,0.0
Peter Hyams,110.0,0.0,308.0,Penelope Ann Miller,510.0,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",John Kapelos,The Relic ,1976,Chi Muoi Lo,English,UK,R,40000000.0,344.0,95.0,33927476,19176,165.0,5.7,956,False,False,False,True,False,False,False,True,False,False,True,-6072524.0,66834405.0,2829108.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
Tom Shadyac,104.0,293.0,256.0,Susanna Thompson,780.0,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']",Joe Morton,Dragonfly ,2109,Matt Craven,English,USA,PG-13,60000000.0,265.0,117.0,30063805,31788,243.0,6.1,0,True,False,True,True,False,False,False,False,False,True,True,-29936195.0,328239523.0,21433226.0,4.0,0.07405250526847623,0.0034860315237246944,4.0,0.06638940840047251,0.0027519101774661457,2.0,0.06548025634363497,0.0
Rod Lurie,131.0,37.0,507.0,Delroy Lindo,968.0,"['Action', 'Drama', 'Thriller']",Clifton Collins Jr.,The Last Castle ,3012,Michael Irby,English,USA,R,60000000.0,848.0,110.0,18208078,57100,281.0,6.9,0,True,False,False,True,False,True,False,False,False,False,False,-41791922.0,328239523.0,21433226.0,8.0,0.08167119776407207,0.009722250165086994,8.0,0.08394513181236539,0.009543146842343697,2.0,0.07502377495022751,0.0
Walter Salles,103.0,179.0,87.0,Camryn Manheim,794.0,"['Drama', 'Horror', 'Thriller']",Dougray Scott,Dark Water ,1467,Ariel Gade,English,USA,PG-13,30000000.0,329.0,196.0,25472967,44966,411.0,5.6,0,True,False,False,True,False,False,False,True,False,False,False,-4527033.0,328239523.0,21433226.0,4.0,0.06681702576899083,0.001346146124739148,2.0,0.06562770277117265,0.0,4.0,0.0743674308680384,0.002044519243014269
Stephen Herek,114.0,65.0,440.0,Morgan Fairchild,743.0,"['Comedy', 'Drama']",Kelly Preston,Holy Man ,2367,Eric McCormack,English,USA,PG,60000000.0,730.0,56.0,12065985,16260,88.0,4.9,296,True,True,False,False,False,False,False,False,False,False,False,-47934015.0,328239523.0,21433226.0,8.0,0.07009207009207011,0.004262216773307257,2.0,0.061760237744092436,0.0,2.0,0.061760237744092436,0.0
Mark Waters,95.0,70.0,512.0,Ivana Milicevic,970.0,"['Comedy', 'Fantasy', 'Romance']",Jon Heder,Just Like Heaven ,2876,Willie Garson,English,USA,PG-13,58000000.0,834.0,142.0,48291624,82819,263.0,6.7,0,False,True,True,False,False,False,False,False,False,True,False,-9708376.0,328239523.0,21433226.0,4.0,0.07447602288196106,0.00598037983592797,6.0,0.06578995550295132,0.00441682172883425,4.0,0.06541726764043994,0.0009108218079194332
Brian Levant,90.0,32.0,809.0,Mark Addy,1000.0,"['Comedy', 'Family', 'Romance', 'Sci-Fi']",Taylor Negron,The Flintstones in Viva Rock Vegas ,6299,Danny Woodburn,English,USA,PG,60000000.0,891.0,57.0,35231365,15517,85.0,3.6,500,False,True,True,False,False,False,False,False,True,False,True,-24768635.0,328239523.0,21433226.0,6.0,0.08224186455844612,0.006926796827344821,4.0,0.07415119409304048,0.003174563913625648,4.0,0.07650549450549451,0.0039194099795306
