director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes
,60.0,,184.0,Philip Michael Thomas,982.0,Action|Crime|Drama|Mystery|Thriller,Don Johnson,Miami Vice             ,1687,John Diehl,English,USA,TV-14,1500000.0,321.0
David Mamet,110.0,342.0,393.0,Felicity Huffman,623.0,Drama|Mystery|Thriller,Ben Gazzara,The Spanish Prisoner ,1722,Campbell Scott,English,USA,PG,10000000.0,508.0
John Milius,129.0,468.0,183.0,Mako,919.0,Adventure|Fantasy,William Smith,Conan the Barbarian ,2024,Sandahl Bergman,English,USA,R,20000000.0,691.0
Jon Amiel,135.0,36.0,106.0,Tchéky Karyo,894.0,Action|Adventure|Sci-Fi|Thriller,Glenn Morshower,The Core ,1439,Rekha Sharma,English,USA,PG-13,60000000.0,345.0
Pete Travis,95.0,38.0,20.0,Jason Cope,409.0,Action|Sci-Fi,Wood Harris,Dredd ,578,Rakie Ayola,English,UK,R,35000000.0,107.0
George A. Romero,130.0,0.0,602.0,Hal Holbrook,875.0,Comedy|Fantasy|Horror,Ted Danson,Creepshow ,2662,Adrienne Barbeau,English,USA,R,8000000.0,826.0
Roger Christian,119.0,64.0,41.0,Michael Byrne,743.0,Action|Adventure|Sci-Fi,Richard Tyson,Battlefield Earth ,971,John Topor,English,USA,PG-13,44000000.0,117.0
Jacques Perrin,104.0,63.0,7.0,Jacques Perrin,67.0,Documentary|Drama,Pedro Armendáriz Jr.,Oceans ,152,Rie Miyazawa,French,France,G,40000000.0,63.0
Peter Hyams,102.0,0.0,212.0,Catherine McCormack,1000.0,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,A Sound of Thunder ,1890,Jemima Rooper,English,UK,PG-13,52000000.0,307.0
Andrés Couturier,89.0,0.0,20.0,David Hoffman,163.0,Animation|Family,Sariann Monaco,Top Cat Begins ,370,Ben Diskin,Spanish,Mexico,PG,8000000.0,94.0
Renny Harlin,125.0,212.0,394.0,Alan Ford,613.0,Horror|Mystery|Thriller,James D'Arcy,Exorcist: The Beginning ,1970,Izabella Scorupco,English,USA,R,50000000.0,422.0
Jerry Zucker,134.0,109.0,249.0,Ben Cross,919.0,Action|Adventure|Romance|Thriller,Julia Ormond,First Knight ,1695,John Gielgud,English,USA,PG-13,55000000.0,303.0
Jean-Jacques Annaud,109.0,218.0,8.0,Jean-Claude Dreyfus,21.0,Adventure|Drama|Family,David Gant,Two Brothers ,55,Oanh Nguyen,English,France,PG,59660000.0,17.0
Bobby Farrelly,111.0,101.0,681.0,Larry Joe Campbell,966.0,Comedy|Romance,Jenna Fischer,Hall Pass ,3393,Stephen Merchant,English,USA,R,36000000.0,919.0
Chris Wedge,103.0,77.0,835.0,Stephen Root,1000.0,Adventure|Animation|Comedy|Family,Goran Visnjic,Ice Age ,5437,Denis Leary,English,USA,PG,59000000.0,939.0
Michael Lembeck,104.0,54.0,775.0,Aisha Tyler,901.0,Comedy|Family|Fantasy,Judge Reinhold,The Santa Clause 2 ,5265,Eric Lloyd,English,USA,G,60000000.0,857.0
John Milius,114.0,468.0,919.0,Jennifer Grey,1000.0,Action|Drama|War,Lea Thompson,Red Dawn ,3860,William Smith,English,USA,PG-13,16900000.0,1000.0
Baltasar Kormákur,121.0,175.0,221.0,Martin Henderson,963.0,Adventure|Biography|Drama|History|Sport|Thriller,Michael Kelly,Everest ,2131,Tom Goodman-Hill,English,UK,PG-13,55000000.0,580.0
Martin Campbell,130.0,258.0,345.0,Joe Don Baker,394.0,Action|Adventure|Thriller,Izabella Scorupco,GoldenEye ,1784,Tchéky Karyo,English,UK,PG-13,58000000.0,387.0
Steve Carr,92.0,41.0,522.0,Lisa Edelstein,1000.0,Comedy|Family,Anjelica Huston,Daddy Day Care ,4050,Jeff Garlin,English,USA,PG,60000000.0,955.0
Marc Lawrence,101.0,30.0,268.0,Alicia Witt,1000.0,Comedy|Romance,Dorian Missick,Two Weeks Notice ,2636,Dana Ivey,English,USA,PG-13,60000000.0,976.0
