movie_title,year
Two Weeks Notice ,2002.0
Exorcist: The Beginning ,2004.0
Deep Blue Sea ,1999.0
First Knight ,1995.0
This Is It ,2009.0
Two Brothers ,2004.0
Kangaroo Jack ,2003.0
Hall Pass ,2011.0
Coraline ,2009.0
Ice Age ,2002.0
Starsky & Hutch ,2004.0
The Santa Clause 2 ,2002.0
Jingle All the Way ,1996.0
Red Dawn ,1984.0
Up Close & Personal ,1996.0
Everest ,2015.0
The Tuxedo ,2002.0
GoldenEye ,1995.0
Under Siege 2: Dark Territory ,1995.0
Daddy Day Care ,2003.0
Jack Ryan: Shadow Recruit ,2014.0
Miami Vice             ,1984.0
Priest ,2011.0
The Boxtrolls ,2014.0
The Spanish Prisoner ,1997.0
Dragonfly ,2002.0
Practical Magic ,1998.0
Conan the Barbarian ,1982.0
The Last Castle ,2001.0
Miss Congeniality 2: Armed and Fabulous ,2005.0
The Core ,2003.0
Meet Dave ,2008.0
Dredd ,2012.0
Dark Water ,2023.0
The Sentinel ,1977.0
Creepshow ,2019.0
Holy Man ,1998.0
Intolerable Cruelty ,2003.0
Battlefield Earth ,2000.0
Just Like Heaven ,2005.0
The Relic ,1997.0
Oceans ,2004.0
The Flintstones in Viva Rock Vegas ,2000.0
Leatherheads ,2008.0
A Sound of Thunder ,2005.0
Top Cat Begins ,2015.0
Paddington ,2014.0
Did You Hear About the Morgans? ,2009.0
Unfaithful ,2002.0
Imagine That ,2009.0
13 Hours ,2016.0
The Internship ,2013.0
A Very Long Engagement ,2009.0
Silent Hill ,2006.0
Red Tails ,2012.0
Lolita ,1997.0
Into the Storm ,2014.0
Alvin and the Chipmunks ,2007.0
"You, Me and Dupree ",2006.0
The Peacemaker ,1997.0
The Nutty Professor ,1996.0
Superman II ,1980.0
On Deadly Ground ,1994.0
Casper ,1995.0
Gigli ,2003.0
Flightplan ,2005.0
Zero Dark Thirty ,2012.0
Raising Helen ,2004.0
The Dukes of Hazzard ,2005.0
Stargate SG-1             ,1997.0
Ninja Assassin ,2009.0
From Paris with Love ,2010.0
Hannibal Rising ,2007.0
Shanghai Noon ,2000.0
Bulletproof Monk ,2003.0
Basic ,1992.0
Executive Decision ,1996.0
"Me, Myself & Irene ",2000.0
Man of the House ,2005.0
Mr. Popper's Penguins ,2011.0
Barnyard ,2006.0
Mad City ,1997.0
Free Birds ,2013.0
Shrek ,2001.0
Evita ,1996.0
Baby's Day Out ,1994.0
As Good as It Gets ,1997.0
Beautiful Creatures ,2013.0
Payback ,1999.0
The Ghost and the Darkness ,1996.0
Street Fighter: The Legend of Chun-Li ,2009.0
Congo ,1995.0
The Adventures of Ford Fairlane ,1990.0
Shanghai Knights ,2003.0
The Tooth Fairy ,2006.0
Herbie Fully Loaded ,2005.0
Rat Race ,2001.0
Don't Say a Word ,2001.0
The Thomas Crown Affair ,1999.0
Solaris ,1972.0
Waitress ,2007.0
A Shine of Rainbows ,2009.0
The Shallows ,2016.0
Liar Liar ,1997.0
Agent Cody Banks ,2003.0
Bloodsport ,1988.0
Snow Day ,2000.0
The Infiltrator ,2016.0
Nothing to Lose ,1997.0
The Hit List ,2011.0
This Christmas ,2022.0
The Squid and the Whale ,2005.0
Inchon ,1981.0
Money Talks ,1997.0
Videodrome ,1983.0
The Flintstones ,1994.0
Baby Geniuses ,1999.0
There Will Be Blood ,2007.0
Kissing Jessica Stein ,2001.0
The Big Hit ,1998.0
Scary Movie 3 ,2003.0
L'auberge espagnole ,2002.0
The Wild Thornberrys Movie ,2002.0
Exotica ,1994.0
Harriet the Spy ,1996.0
Miss Congeniality ,2000.0
Winter in Wartime ,2008.0
Insidious ,2010.0
Rugrats Go Wild ,2003.0
Child's Play 2 ,1990.0
Scary Movie 2 ,2001.0
Repo Man ,1984.0
The Train ,2016.0
Undercover Brother ,2002.0
No Good Deed ,2014.0
The Muppets ,2011.0
Nine Queens ,2000.0
Jeepers Creepers II ,2017.0
Bend It Like Beckham ,2002.0
Ex Machina ,2014.0
Blade ,1998.0
The Ballad of Jack and Rose ,2005.0
Sunshine State ,2002.0
Being John Malkovich ,1999.0
Good Luck Chuck ,2007.0
The To Do List ,2013.0
Changing Lanes ,2002.0
Two Can Play That Game ,2001.0
Crossover ,2006.0
Unsullied ,2014.0
Coyote Ugly ,2000.0
Earth to Echo ,2014.0
Mr. Bean's Holiday ,2007.0
[Rec] 2 ,2009.0
Session 9 ,2001.0
Tin Cup ,1996.0
Woo ,2022.0
Anacondas: The Hunt for the Blood Orchid ,2004.0
The Sting ,1973.0
Hatchet ,2006.0
Fat Albert ,2004.0
Elizabeth ,
Room ,2015.0
Chariots of Fire ,1981.0
Modern Times ,1936.0
Last Holiday ,2006.0
Bride of Chucky ,1998.0
Serial Mom ,1994.0
Diary of a Mad Black Woman ,2005.0
Stolen Summer ,2002.0
The Indian in the Cupboard ,1995.0
Birthday Girl ,2023.0
Shine ,1996.0
Tora! Tora! Tora! ,1970.0
My Name Is Bruce ,2007.0
Savages ,2012.0
21 & Over ,2013.0
Spice World ,1997.0
The Chorus ,2004.0
The Salon ,2005.0
Cellular ,2004.0
Resurrecting the Champ ,2007.0
Dance Flick ,2009.0
Mambo Italiano ,2003.0
Road Hard ,2015.0
Johnny English ,2003.0
Faithful ,1996.0
Crocodile Dundee in Los Angeles ,2001.0
