num_critic_for_reviews,gross,movie_title,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes
205,611709,Le Havre ,15267,41,7.2,0
133,29580087,Did You Hear About the Morgans? ,29523,121,4.7,0
2,31662,Operation Chromite ,90,1,6.8,139
85,45661,Shotgun Stories ,7148,32,7.3,773
139,42365600,Time Bandits ,45890,177,7,0
146,2849142,Things We Lost in the Fire ,24104,88,7.2,0
56,8406264,Pushing Tin ,24826,175,6,783
48,32101000,The Lawnmower Man ,27800,96,5.4,0
110,56702901,A Civil Action ,23302,181,6.5,1000
22,115504,The Other End of the Line ,4820,26,6.2,0
79,3287435,Thirteen Conversations About One Thing ,8603,115,7.1,430
108,21468807,Urban Legends: Final Cut ,13048,227,4.1,243
168,8579684,Death at a Funeral ,89547,199,7.4,0
220,17508670,Notes on a Scandal ,64625,281,7.4,0
106,22406362,The Alamo ,16832,267,6,701
50,14095303,Maximum Risk ,15814,68,5.4,503
51,155972,The Bubble ,4702,23,7.3,0
135,13395939,Alfie ,43442,146,6.2,0
61,24705,The Exploding Girl ,1516,10,6.3,377
65,12189514,Chasing Liberty ,30092,129,6.1,0
49,1789892,Clay Pigeons ,9494,109,6.6,515
196,39511038,The Texas Chainsaw Massacre: The Beginning ,56269,366,5.9,0
127,38120554,Treasure Planet ,71527,217,7.1,0
104,22433915,City by the Sea ,21319,166,6.2,416
118,50818750,The Tale of Despereaux ,31209,106,6.1,0
106,106869,Escobar: Paradise Lost ,13762,39,6.6,0
66,21088568,Tales from the Crypt: Demon Knight ,16646,104,6.7,0
264,51527787,My Bloody Valentine ,45603,268,5.5,0
160,14637490,My Soul to Take ,16411,136,4.8,0
43,9123834,Peeples ,4065,33,5.3,0
35,3123749,Boynton Beach Club ,746,27,6.5,88
70,2899970,Cradle Will Rock ,8039,161,6.9,625
162,26687172,Winnie the Pooh ,15600,55,7.3,0
15,4350774,PCU ,10476,52,6.5,0
194,13823741,The Duchess ,61777,140,6.9,0
41,22551000,Much Ado About Nothing ,37269,165,7.4,0
23,352684,Khiladi 786 ,4633,31,4.3,365
51,900926,The Brothers Solomon ,9517,46,5.3,319
16,140987,Free Style ,361,4,4.2,58
46,535249,The Virginity Hit ,3467,13,4.6,974
81,5308707,Made ,15053,165,6.4,393
3,243768,The Legend of God's Gun ,143,9,4.1,13
113,19406406,Oceans ,7630,42,7.8,0
38,325491,City of Ghosts ,4387,67,6,204
89,85416609,The SpongeBob SquarePants Movie ,58906,186,7,0
78,58297830,Anastasia ,86347,191,7.1,0
58,13592872,The Ladies Man ,10777,79,5.1,671
85,28165882,The Prince and Me ,31984,154,5.9,0
84,1029017,A Home at the End of the World ,12049,135,6.8,1000
110,7022940,Kissing Jessica Stein ,14018,190,6.7,682
70,54967359,Spawn ,52805,209,5.2,0
121,62700000,Moonraker ,69534,294,6.3,0
84,274661,Taxi to the Dark Side ,10564,40,7.7,0
152,58715510,Bride Wars ,79094,129,5.4,0
136,31874869,Murder by Numbers ,43575,302,6.1,0
101,17596256,Furry Vengeance ,12399,84,3.8,0
136,31874869,Murder by Numbers ,43574,302,6.1,0
140,578382,All Good Things ,41249,67,6.3,0
116,40334024,Heartbreakers ,44168,216,6.2,989
40,1181197,Slow Burn ,3299,24,5.9,191
67,6851636,200 Cigarettes ,13010,182,5.9,0
109,353743,Buffalo Soldiers ,20730,111,6.9,664
152,2912363,Tsotsi ,25063,177,7.3,0
8,8231,Pink Narcissus ,803,16,6.7,85
115,1243961,"For a Good Time, Call... ",13421,34,6,0
98,26288320,Sinbad: Legend of the Seven Seas ,36144,91,6.7,880
116,864959,Mirrormask ,20275,151,6.9,0
76,61112916,The Shaggy Dog ,14888,83,4.4,747
8,29392418,A Low Down Dirty Shame ,3924,26,5.8,368
224,1818681,Harry Brown ,74435,224,7.2,0
80,48423368,Return to Never Land ,13324,79,5.8,302
200,136432,Severance ,31890,194,6.6,0
183,1304837,The Good German ,21481,175,6.1,559
113,10996440,The Astronaut Farmer ,19707,128,6.3,862
196,24407944,Elektra ,71202,380,4.8,0
105,8355815,Death to Smoochy ,34730,341,6.4,0
30,220234,Ira & Abby ,1950,24,6.5,360
134,3108216,Our Kind of Traitor ,2587,21,6.4,0
27,3060858,Malone ,1768,37,5.6,208
117,38966057,Primary Colors ,23940,157,6.7,688
137,51768623,Finding Forrester ,73006,297,7.3,0
32,536767,20 Dates ,1622,83,5.3,30
177,22331028,Project Almanac ,57349,177,6.4,0
75,65000000,The American President ,43027,214,6.8,0
83,65500000,Witness ,66966,175,7.4,0
68,3064356,Sunshine State ,3433,81,6.9,160
52,6543194,I Dreamed of Africa ,3740,61,5.6,314
83,28873374,One Direction: This Is Us ,22161,68,4.1,0
79,34099640,My Dog Skip ,16651,149,7,0
127,1987287,Oliver Twist ,25474,138,6.9,0
32,29200000,The Rose ,6142,52,6.9,1000
13,428535,Luminarias ,505,32,3.6,24
161,67061228,The Bounty Hunter ,96565,135,5.5,0
32,9109322,Superbabies: Baby Geniuses 2 ,25371,129,1.9,0
27,2246000,Courage ,2302,20,7,0
135,24185781,Hearts in Atlantis ,30339,268,6.9,0
106,5755286,Lucky You ,18310,63,5.9,672
145,449558,The Damned United ,32307,75,7.6,0
115,274385,Soul Kitchen ,29203,26,7.3,0
112,2706659,The History Boys ,17770,172,6.9,0
70,16290976,Muppets from Space ,14637,100,6.2,619
55,22326247,At First Sight ,11232,106,5.9,0
140,298110,Fido ,25055,98,6.8,0
93,67155742,Dante's Peak ,62271,277,5.8,0
38,206400,Alias Betty ,1439,26,6.9,26
34,528972,Earth ,5639,55,7.8,522
17,7826,Certifiably Jonathan ,132,2,6.2,87
9,902835,American Desi ,1489,40,6.7,133
141,317125,Adore ,23334,87,6.2,0
106,2365931,Buffalo '66 ,36657,318,7.5,0
100,621240,Ajami ,4999,32,7.4,0
23,1977544,The Incredibly True Adventure of Two Girls in Love ,3513,36,6.5,423
75,13558739,Tomcats ,15427,121,5.3,449
110,42640890,Because I Said So ,32412,184,5.6,0
40,5355847,October Baby ,6110,82,6.8,0
143,469947,Weekend ,19846,68,7.7,0
,23616,Arnolds Park ,94,4,5.6,11
262,3958500,Mr. Turner ,17933,165,6.8,0
40,17278980,Half Baked ,48225,164,6.7,0
44,11466088,Turbulence ,8983,84,4.7,316
60,181798,The Flower of Evil ,2591,36,6.6,52
48,4142507,Whipped ,3665,81,4.4,131
97,30222640,Honey ,36666,144,5.3,0
165,4857376,"Paris, je t'aime ",63084,123,7.3,0
138,87704396,Entrapment ,88132,274,6.2,0
29,9628751,Digimon: The Movie ,5164,65,5.9,207
21,375474,The Game of Their Lives ,2613,46,6.2,445
103,1043487,Velvet Goldmine ,27766,314,7,0
65,16247775,The Perfect Man ,23527,104,5.5,767
121,21078145,Antwone Fisher ,26493,159,7.3,0
11,1111,The Trials of Darryl Hunt ,771,10,7.7,246
22,10769960,Gettysburg ,21940,256,7.7,0
59,10556196,Mad City ,16562,73,6.2,697
61,30306268,Assassins ,62981,84,6.3,0
90,33864342,Mickey Blue Eyes ,29968,117,5.8,445
41,444354,Clockwatchers ,4049,111,6.4,166
37,34308901,Malibu's Most Wanted ,15939,87,5.1,0
222,4440055,Bright Star ,21360,110,7,0
9,2850263,Airborne ,5061,70,6.2,0
32,9975684,Dirty Work ,20033,117,6.4,679
35,1687311,Tango ,2412,40,7.2,539
63,33423521,Street Fighter ,53115,282,3.8,0
171,43097652,No Reservations ,59068,128,6.3,0
132,41523271,Bandits ,57038,261,6.6,0
186,6167817,A Very Long Engagement ,62607,239,7.7,0
103,31585300,The Wedding Date ,38248,250,6.1,0
16,700000,Les visiteurs ,24438,78,7,0
26,883887,Princess Kaiulani ,1201,14,6.2,0
95,33927476,The Relic ,19176,165,5.7,956
25,978908,Thr3e ,4057,90,5.1,250
34,19900000,Vampire in Brooklyn ,17262,53,4.5,1000
41,1046166,Undiscovered ,2599,45,4.2,128
96,21005329,Van Wilder: Party Liaison ,89128,258,6.4,0
48,27445,Salvation Boulevard ,3788,31,5.3,1000
136,6923891,Take Me Home Tonight ,43867,83,6.3,0
74,1282084,Jesus' Son ,6221,87,7,500
93,19447478,Valiant ,15788,80,5.6,538
5,33598,"I Love You, Don't Touch Me! ",405,15,5.4,97
167,13248477,Case 39 ,60555,174,6.2,0
116,75367693,Garfield ,58961,232,5,795
94,1172769,Find Me Guilty ,28068,108,7.1,0
152,25799043,The Lazarus Effect ,28513,126,5.2,0
42,36000000,The Robe ,6359,69,6.8,0
152,19976073,Assault on Precinct 13 ,65979,220,6.3,999
121,25871834,Superhero Movie ,52052,173,4.5,0
207,59588068,Gothika ,89557,376,5.8,0
182,3519627,The Brothers Bloom ,41737,105,6.9,0
84,8044906,Mad Hot Ballroom ,3156,65,7.5,588
160,10105505,Swimming Pool ,35065,288,6.8,0
91,39251128,Anna and the King ,31080,217,6.7,0
97,23650000,The Best Years of Our Lives ,40359,235,8.1,0
120,40932372,The Siege ,58023,281,6.3,0
9,2209479,The Christmas Candle ,844,34,5.8,962
155,2708188,Chéri ,8924,43,6.2,0
80,1309849,Nicholas Nickleby ,9395,103,7.2,0
86,1293295,Dogtown and Z-Boys ,10366,88,7.7,0
85,377420,Coming Home ,2789,20,7.3,0
16,240425,"Gandhi, My Father ",1311,25,7.4,133
118,183662,Little White Lies ,18395,48,7.1,0
105,51185897,The Living Daylights ,69457,271,6.7,0
98,33643461,Marmaduke ,11257,65,4.2,0
198,71148699,The Spiderwick Chronicles ,68935,125,6.6,0
76,38536376,Spy Kids: All the Time in the World in 4D ,15866,83,3.6,0
68,354704,Prison ,2705,38,5.9,314
12,9658370,The Perfect Match ,1180,9,4.5,740
130,90820,Carriers ,35510,119,6,0
4,2024854,The Work and the Glory II: American Zion ,564,21,6.6,19
7,4074023,Sea Rex 3D: Journey to a Prehistoric World ,296,4,6.9,89
20,10555348,We're No Angels ,17349,42,6,855
104,72755517,Jackass Number Two ,56595,196,7.1,641
81,8134217,Cadillac Records ,15412,90,7,0
86,14448589,Life or Something Like It ,19364,128,5.8,835
111,6830957,Moonlight Mile ,11983,147,6.7,365
29,41067398,Money Talks ,22748,41,6.1,666
74,2276368,Riding Giants ,3849,37,7.9,0
25,5694308,Who's Your Caddy? ,13815,46,2,446
12,19281235,House Party 2 ,3571,11,5.1,232
95,26494611,Blast from the Past ,48621,239,6.6,0
59,48114556,Fat Albert ,9380,91,4.3,531
99,617228,I Served the King of England ,6183,27,7.4,1000
51,12372410,Ready to Rumble ,11709,101,5.3,650
44,90485233,Madea Goes to Jail ,9544,45,4.1,804
51,32800000,Striptease ,34896,118,4.3,877
86,9589875,The Express ,16673,45,7.3,0
27,56007,Harvard Man ,3754,69,4.9,113
78,37606,Defendor ,31836,90,6.8,0
118,55747724,Free Birds ,18042,73,5.9,0
63,16574731,54 ,27675,181,5.8,0
12,27012,Redemption Road ,440,9,5.9,279
83,10106233,Prom ,12702,32,5.4,0
122,1247453,Tristram Shandy: A Cock and Bull Story ,11202,123,6.8,750
136,17804273,The Contender ,20449,370,7,1000
93,16088610,Imagine That ,10417,39,5.6,610
106,3525161,Blood and Chocolate ,15388,190,5.5,0
95,22434,The Last Big Thing ,334,17,6.9,43
178,80360866,Zookeeper ,44662,127,5.2,0
110,1523883,Murderball ,9037,70,7.8,0
232,1487477,Night Watch ,47097,310,6.5,0
10,7557877,The Jerky Boys ,2129,37,4.6,138
123,15126948,Halloween: The Curse of Michael Myers ,20815,335,4.9,0
167,41814863,Exorcist: The Beginning ,28635,308,5.1,893
70,3034181,The Guru ,13622,128,5.4,550
72,70360285,Mortal Kombat ,81783,283,5.8,0
129,63600000,Thunderball ,82073,275,7,0
80,20763013,Jaws: The Revenge ,30840,383,2.8,0
161,5824,Eden Lake ,57811,357,6.8,0
212,3766595,The Class ,29248,86,7.5,0
129,221210,World's Greatest Dad ,31964,129,6.9,0
16,49851591,Legal Eagles ,7900,34,5.9,263
110,480314,DOA: Dead or Alive ,38503,180,4.8,0
20,10070000,Mrs. Winterbourne ,5668,50,6.2,491
57,27052167,The Big Hit ,24834,168,6.1,934
201,6610326,The Savages ,32188,127,7.2,0
76,12181484,Envy ,26390,176,4.8,713
34,13801755,The Man Who Knew Too Little ,23928,100,6.6,0
43,20200,Song One ,6797,21,5.8,0
248,33313582,The Informant! ,52888,175,6.5,0
85,671240,Imagine Me & You ,23023,149,6.9,0
116,46495,Margaret ,12053,119,6.5,0
49,792966,The Toxic Avenger Part II ,4663,40,5.1,321
101,34703228,Take the Lead ,21767,127,6.7,0
85,4414535,Hamlet ,30618,224,7.8,0
31,3293258,Pootie Tang ,11399,131,5.2,0
126,603943,Mean Creek ,26407,154,7.3,1000
4,1711,The Looking Glass ,82,1,6.6,175
98,17324744,Just My Luck ,44103,149,5.3,0
226,40168080,Legion ,80870,315,5.2,0
9,17382982,Addicted ,5975,33,5.2,0
29,8600000,The Bounty ,17982,95,7,1000
112,152857,Welcome to the Rileys ,19979,56,7,0
159,278821,Life During Wartime ,5465,37,6.5,0
10,2119994,The Nutcracker ,1153,15,5.7,238
64,32095318,What's the Worst That Could Happen? ,12466,84,5.5,304
128,17071230,Small Time Crooks ,31169,192,6.7,812
10,21199,Born to Fly: Elizabeth Streb vs. Gravity ,40,10,6.8,44
153,7156725,American Dreamz ,22639,217,5.5,300
64,3100650,Soul Survivors ,7277,181,3.9,231
44,13264986,American Outlaws ,12077,162,6,433
116,7496522,The Curse of the Jade Scorpion ,31798,178,6.8,826
104,67962333,Guess Who ,33887,160,5.9,919
248,373060,Fish Tank ,47385,112,7.3,0
53,37600435,First Knight ,55350,180,5.9,0
88,3895664,L'auberge espagnole ,34383,149,7.3,0
144,5542025,For Your Consideration ,12197,150,6.3,650
1,333658,Marilyn Hotchkiss' Ballroom Dancing and Charm School ,97,2,7.1,16
16,872643,Ta Ra Rum Pum ,2909,37,5.4,108
91,41229,Blood Ties ,14612,41,6.5,0
64,12398628,Undisputed ,21542,88,6.1,977
81,15464026,Loser ,23076,158,5.3,1000
112,15935068,Jason Goes to Hell: The Final Friday ,19331,317,4.3,949
12,174682,The Business of Fancydancing ,460,14,6.9,96
75,6471394,The Big Bounce ,15880,93,4.9,288
38,1027119,Urbania ,2742,73,7,72
32,13829734,Highlander: The Final Dimension ,16194,79,4.3,319
91,19179969,Beerfest ,54710,177,6.3,0
169,9639242,I Don't Know How She Does It ,16437,68,4.9,0
71,9059588,Dark Blue ,17261,125,6.6,455
24,12438,Nothing But a Man ,891,26,8.1,363
18,4308981,Meet the Deedles ,2265,37,3.9,839
97,37882551,Not Another Teen Movie ,80305,393,5.7,0
34,12793213,Mystic Pizza ,18286,73,6.2,0
64,4595000,Little Voice ,13892,160,7,915
166,10268846,Whiteout ,31918,142,5.5,0
29,15447,An Alan Smithee Film: Burn Hollywood Burn ,2971,85,3.5,89
40,144431,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,1290,13,7.3,587
5,3105269,Compadres ,368,8,5,174
10,1165104,Housefull ,8598,43,5.3,250
136,7691700,Sarah's Key ,12937,73,7.5,0
95,5204007,Formula 51 ,42876,167,6.3,0
121,75764085,The Family Man ,85844,322,6.7,0
111,14131298,The Messenger: The Story of Joan of Arc ,55889,390,6.4,0
117,750100,Palo Alto ,19752,61,6.3,0
31,59847242,My Girl ,55895,115,6.8,0
34,10400000,The Scarlet Letter ,12037,90,5.1,943
103,16346122,White Oleander ,25549,171,7.2,0
149,20772796,Whale Rider ,34232,346,7.6,0
33,21370057,Raising Cain ,9903,80,6,541
37,418953,Killing Zoe ,17322,93,6.5,853
85,17311,The Dead Girl ,12304,73,6.7,799
83,30050028,Road House ,42987,201,6.5,0
91,3222857,Water ,12560,147,7.8,0
129,6852144,Willard ,15169,213,6.2,0
126,23360779,Reindeer Games ,31113,212,5.7,852
112,90636983,The Game Plan ,44021,83,6.2,0
39,11827301,Breakin' All the Rules ,4247,26,5.5,266
92,16017403,O ,17333,153,6.2,0
