movie_title,duration,genres,language,country,content_rating,budget,genre_Drama,genre_Comedy,genre_Romance,genre_Thriller,genre_Crime,genre_Action,genre_Adventure,genre_Horror,genre_Family,genre_Fantasy,genre_Other,director_name,actor_1_name,actor_2_name,actor_3_name,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,gross,imdb_score,movie_facebook_likes,num_critic_for_reviews,num_voted_users,num_user_for_reviews,gross_margin
The Spanish Prisoner ,110.0,Drama|Mystery|Thriller,English,USA,PG,10000000.0,True,False,False,True,False,False,False,False,False,False,True,David Mamet,Ben Gazzara,Felicity Huffman,Campbell Scott,342.0,623.0,508.0,393.0,1722,10200000.0,7.3,578,97.0,18697,263.0,0.02
Oceans ,104.0,Documentary|Drama,French,France,G,40000000.0,True,False,False,False,False,False,False,False,False,False,True,Jacques Perrin,Pedro Armendáriz Jr.,Jacques Perrin,Rie Miyazawa,63.0,67.0,63.0,7.0,152,19406406.0,7.8,0,113.0,7630,42.0,-0.51483985
Exorcist: The Beginning ,125.0,Horror|Mystery|Thriller,English,USA,R,50000000.0,False,False,False,True,False,False,False,True,False,False,True,Renny Harlin,James D'Arcy,Alan Ford,Izabella Scorupco,212.0,613.0,422.0,394.0,1970,41814863.0,5.1,893,167.0,28635,308.0,-0.16370274
First Knight ,134.0,Action|Adventure|Romance|Thriller,English,USA,PG-13,55000000.0,False,False,True,True,False,True,True,False,False,False,False,Jerry Zucker,Julia Ormond,Ben Cross,John Gielgud,109.0,919.0,303.0,249.0,1695,37600435.0,5.9,0,53.0,55350,180.0,-0.31635572727272726
This Is It ,111.0,Documentary|Music,English,USA,PG,60000000.0,False,False,False,False,False,False,False,False,False,False,True,Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,197.0,433.0,208.0,6.0,679,71844424.0,7.3,0,136.0,33158,223.0,0.19740706666666666
Kangaroo Jack ,89.0,Action|Adventure|Comedy|Crime,English,USA,PG,60000000.0,False,True,False,False,True,True,True,False,False,False,False,David McNally,Estella Warren,Dyan Cannon,Bill Hunter,18.0,658.0,257.0,226.0,1233,66734992.0,4.4,858,73.0,23476,181.0,0.11224986666666667
Jingle All the Way ,94.0,Comedy|Family,English,USA,PG,60000000.0,False,True,False,False,False,False,False,False,True,False,False,Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,32.0,854.0,628.0,626.0,4530,60573641.0,5.4,0,81.0,68406,162.0,0.009560683333333334
Up Close & Personal ,124.0,Drama|Romance,English,USA,PG-13,60000000.0,True,False,True,False,False,False,False,False,False,False,False,Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,50.0,1000.0,944.0,672.0,3653,51045801.0,6.1,829,34.0,11370,54.0,-0.14923665
The Tuxedo ,98.0,Action|Comedy|Sci-Fi,English,USA,PG-13,60000000.0,False,True,False,False,False,True,False,False,False,False,True,Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,11.0,966.0,680.0,107.0,2018,50189179.0,5.3,797,81.0,61966,207.0,-0.16351368333333333
Under Siege 2: Dark Territory ,92.0,Action|Thriller,English,USA,R,60000000.0,False,False,False,True,False,True,False,False,False,False,False,Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,14.0,789.0,520.0,488.0,2318,50024083.0,5.4,1000,47.0,35918,126.0,-0.16626528333333335
Miss Congeniality 2: Armed and Fabulous ,115.0,Action|Comedy|Crime,English,USA,PG-13,45000000.0,False,True,False,False,True,True,False,False,False,False,False,John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,11.0,1000.0,759.0,642.0,4305,48472213.0,5.0,621,111.0,51252,156.0,0.07716028888888889
The Sentinel ,107.0,Action|Crime|Thriller,English,USA,PG-13,60000000.0,False,False,False,True,True,True,False,False,False,False,False,Clark Johnson,Blair Brown,David Rasche,Martin Donovan,69.0,310.0,219.0,206.0,1352,36279230.0,6.1,690,161.0,42144,213.0,-0.39534616666666667
Intolerable Cruelty ,100.0,Comedy|Crime|Romance,English,USA,PG-13,60000000.0,False,True,True,False,True,False,False,False,False,False,False,Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,0.0,436.0,399.0,210.0,1395,35096190.0,6.3,0,161.0,76560,322.0,-0.4150635
The Relic ,110.0,Horror|Mystery|Sci-Fi|Thriller,English,UK,R,40000000.0,False,False,False,True,False,False,False,True,False,False,True,Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,0.0,510.0,344.0,308.0,1976,33927476.0,5.7,956,95.0,19176,165.0,-0.1518131
Dragonfly ,104.0,Drama|Fantasy|Mystery|Romance|Thriller,English,USA,PG-13,60000000.0,True,False,True,True,False,False,False,False,False,True,True,Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,293.0,780.0,265.0,256.0,2109,30063805.0,6.1,0,117.0,31788,243.0,-0.49893658333333335
