director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes
,60,,184,Philip Michael Thomas,982,Action|Crime|Drama|Mystery|Thriller,Don Johnson,Miami Vice             ,1687,John Diehl,English,USA,TV-14,1500000,321
David Mamet,110,342,393,Felicity Huffman,623,Drama|Mystery|Thriller,Ben Gazzara,The Spanish Prisoner ,1722,Campbell Scott,English,USA,PG,10000000,508
John Milius,129,468,183,Mako,919,Adventure|Fantasy,William Smith,Conan the Barbarian ,2024,Sandahl Bergman,English,USA,R,20000000,691
Jon Amiel,135,36,106,Tchéky Karyo,894,Action|Adventure|Sci-Fi|Thriller,Glenn Morshower,The Core ,1439,Rekha Sharma,English,USA,PG-13,60000000,345
Pete Travis,95,38,20,Jason Cope,409,Action|Sci-Fi,Wood Harris,Dredd ,578,Rakie Ayola,English,UK,R,35000000,107
George A. Romero,130,0,602,Hal Holbrook,875,Comedy|Fantasy|Horror,Ted Danson,Creepshow ,2662,Adrienne Barbeau,English,USA,R,8000000,826
Roger Christian,119,64,41,Michael Byrne,743,Action|Adventure|Sci-Fi,Richard Tyson,Battlefield Earth ,971,John Topor,English,USA,PG-13,44000000,117
Jacques Perrin,104,63,7,Jacques Perrin,67,Documentary|Drama,Pedro Armendáriz Jr.,Oceans ,152,Rie Miyazawa,French,France,G,40000000,63
Peter Hyams,102,0,212,Catherine McCormack,1000,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,A Sound of Thunder ,1890,Jemima Rooper,English,UK,PG-13,52000000,307
Andrés Couturier,89,0,20,David Hoffman,163,Animation|Family,Sariann Monaco,Top Cat Begins ,370,Ben Diskin,Spanish,Mexico,PG,8000000,94
Renny Harlin,125,212,394,Alan Ford,613,Horror|Mystery|Thriller,James D'Arcy,Exorcist: The Beginning ,1970,Izabella Scorupco,English,USA,R,50000000,422
Jerry Zucker,134,109,249,Ben Cross,919,Action|Adventure|Romance|Thriller,Julia Ormond,First Knight ,1695,John Gielgud,English,USA,PG-13,55000000,303
Jean-Jacques Annaud,109,218,8,Jean-Claude Dreyfus,21,Adventure|Drama|Family,David Gant,Two Brothers ,55,Oanh Nguyen,English,France,PG,59660000,17
Bobby Farrelly,111,101,681,Larry Joe Campbell,966,Comedy|Romance,Jenna Fischer,Hall Pass ,3393,Stephen Merchant,English,USA,R,36000000,919
Chris Wedge,103,77,835,Stephen Root,1000,Adventure|Animation|Comedy|Family,Goran Visnjic,Ice Age ,5437,Denis Leary,English,USA,PG,59000000,939
Michael Lembeck,104,54,775,Aisha Tyler,901,Comedy|Family|Fantasy,Judge Reinhold,The Santa Clause 2 ,5265,Eric Lloyd,English,USA,G,60000000,857
John Milius,114,468,919,Jennifer Grey,1000,Action|Drama|War,Lea Thompson,Red Dawn ,3860,William Smith,English,USA,PG-13,16900000,1000
Baltasar Kormákur,121,175,221,Martin Henderson,963,Adventure|Biography|Drama|History|Sport|Thriller,Michael Kelly,Everest ,2131,Tom Goodman-Hill,English,UK,PG-13,55000000,580
Martin Campbell,130,258,345,Joe Don Baker,394,Action|Adventure|Thriller,Izabella Scorupco,GoldenEye ,1784,Tchéky Karyo,English,UK,PG-13,58000000,387
Steve Carr,92,41,522,Lisa Edelstein,1000,Comedy|Family,Anjelica Huston,Daddy Day Care ,4050,Jeff Garlin,English,USA,PG,60000000,955
Marc Lawrence,101,30,268,Alicia Witt,1000,Comedy|Romance,Dorian Missick,Two Weeks Notice ,2636,Dana Ivey,English,USA,PG-13,60000000,976
Renny Harlin,105,212,811,Michael Rapaport,1000,Action|Sci-Fi|Thriller,LL Cool J,Deep Blue Sea ,3697,Saffron Burrows,English,USA,R,60000000,975
Kenny Ortega,111,197,6,Mekia Cox,433,Documentary|Music,Misha Gabriel Hamilton,This Is It ,679,Judith Hill,English,USA,PG,60000000,208
David McNally,89,18,226,Dyan Cannon,658,Action|Adventure|Comedy|Crime,Estella Warren,Kangaroo Jack ,1233,Bill Hunter,English,USA,PG,60000000,257
Henry Selick,100,253,57,Dawn French,309,Animation|Family|Fantasy,Jennifer Saunders,Coraline ,647,John Hodgman,English,USA,PG,60000000,229
Todd Phillips,101,480,767,Carmen Electra,881,Comedy|Crime,Snoop Dogg,Starsky & Hutch ,3943,Fred Williamson,English,USA,PG-13,60000000,869
Brian Levant,94,32,626,Harvey Korman,854,Comedy|Family,Jim Belushi,Jingle All the Way ,4530,Jake Lloyd,English,USA,PG,60000000,628
Jon Avnet,124,50,672,Stockard Channing,1000,Drama|Romance,Joe Mantegna,Up Close & Personal ,3653,Raymond Cruz,English,USA,PG-13,60000000,944
Kevin Donovan,98,11,107,Debi Mazar,966,Action|Comedy|Sci-Fi,Romany Malco,The Tuxedo ,2018,Ritchie Coster,English,USA,PG-13,60000000,680
