name,global_r2,n_coefficients,timestamp
OLS_enriched,0.3854693724186226,103,2024-04-24 22:23
OLS_enriched_be_0.1,0.3595867423319205,18,2024-04-24 22:24
OLS_enriched_be_0.05,0.3521160508958103,14,2024-04-24 22:25
OLS_sc_enriched_be_0.05,0.35117823753899435,15,2024-04-25 11:00
OLS_enriched_be_0.01,0.3403007601959036,10,2024-04-24 22:26
OLS_original,0.3305159285839337,80,2024-04-24 22:20
OLS_original_be_0.1,0.3107234670080437,12,2024-04-24 22:22
OLS_original_be_0.5,0.305904035117773,10,2024-04-24 22:21
OLS_budget,0.2282156829049654,2,2024-04-24 22:15
OLS_actor1_degree,0.0221278230948057,2,2024-04-24 22:18
OLS_year,0.0104597641412685,2,2024-04-24 22:17
