model,mse,mape,r2,timestamp
enriched_sign_scaled_LinearRegression,269534142406053.44,111.26658609089165,-0.2448366184399391,2024-04-23 09:03
enriched_sign_scaled_Lasso,269534148804092.9,111.26679607048236,-0.24483696828779297,2024-04-23 09:03
Lasso,275208062509124.1,109.0124102620818,-0.3832355550586256,2024-04-23 09:02
scaled_Lasso,275293752336932.7,109.0549577613593,-0.3852674995527921,2024-04-23 09:03
LinearRegression,275386380048541.8,106.67400157712972,-0.3943686454825347,2024-04-23 09:02
enriched_Lasso,280985352093312.7,114.04351289305188,-0.5144567992927614,2024-04-23 09:03
enriched_scaled_Lasso,281041180030578.3,114.05434200641872,-0.5157990681392997,2024-04-23 09:03
enriched_LinearRegression,282105808839983.94,114.31802270760122,-0.5565869524305127,2024-04-23 09:03
enriched_MLPRegressor,296187710122804.94,103.2273397532933,-0.2783284230106705,2024-04-23 09:03
RandomForestRegressor,303363092836037.2,174.82633584145918,-0.8851630871213765,2024-04-23 09:02
MLPRegressor,308109954844796.0,45.04987688479567,-0.1521514825428026,2024-04-23 09:02
scaled_RandomForestRegressor,310472289221053.2,193.82985761847584,-1.091253595963058,2024-04-23 09:03
scaled_KNeighborsRegressor,322178214308017.4,138.30257970238958,-0.9213517756898748,2024-04-23 09:03
enriched_scaled_RandomForestRegressor,330760217512233.1,213.39996070873684,-1.67553902563555,2024-04-23 09:03
enriched_sign_scaled_RandomForestRegressor,332276194460606.0,213.67641344787094,-1.488310945163359,2024-04-23 09:03
enriched_RandomForestRegressor,334383148378134.2,224.5897601641936,-1.971282978184265,2024-04-23 09:03
enriched_sign_scaled_KNeighborsRegressor,334834978613902.5,155.8903066702345,-0.9561789510003511,2024-04-23 09:03
enriched_scaled_KNeighborsRegressor,343275982155342.5,150.06989702641278,-1.320481725086594,2024-04-23 09:03
enriched_sign_scaled_XGBRegressor,359002102058262.2,201.0156812755187,-1.3370230765989084,2024-04-23 09:03
enriched_XGBRegressor,364405753064875.3,171.74854533902146,-1.2299752330182394,2024-04-23 09:03
enriched_scaled_XGBRegressor,364405753064875.3,171.74854533902146,-1.2299752330182394,2024-04-23 09:03
scaled_XGBRegressor,365061529264914.3,136.4188917722055,-0.8828354995402347,2024-04-23 09:03
XGBRegressor,365061529264914.3,136.4188917722055,-0.8828354995402347,2024-04-23 09:02
enriched_KNeighborsRegressor,383838754771845.8,117.37446420667273,-0.9982521656492768,2024-04-23 09:03
KNeighborsRegressor,387607564526245.1,137.03367773794275,-0.7370337141542692,2024-04-23 09:02
DummyRegressor,416121285061501.2,259.6464226285745,-1.7165802762418998,2024-04-23 09:02
scaled_DummyRegressor,416121285061501.2,259.6464226285745,-1.7165802762418998,2024-04-23 09:03
enriched_DummyRegressor,418542400687709.0,262.2955824486193,-1.9662543166589035,2024-04-23 09:03
enriched_scaled_DummyRegressor,418542400687709.0,262.2955824486193,-1.9662543166589035,2024-04-23 09:03
enriched_sign_scaled_DummyRegressor,418542400687709.0,262.2955824486193,-1.9662543166589035,2024-04-23 09:03
SVR,484736466422366.4,169.11317358899058,-1.058750316009958,2024-04-23 09:02
scaled_SVR,484737411691809.4,169.11478702187247,-1.0587682846007394,2024-04-23 09:03
enriched_SVR,487953399252282.8,171.0355431651289,-1.1756134241413396,2024-04-23 09:03
enriched_sign_scaled_SVR,487953821398253.0,171.03569063217188,-1.175616167705122,2024-04-23 09:03
enriched_scaled_SVR,487954067231819.2,171.03568618020827,-1.175616278848864,2024-04-23 09:03
scaled_MLPRegressor,619804785342199.8,0.997004504966866,-0.9675672671709796,2024-04-23 09:03
enriched_scaled_MLPRegressor,622516899319553.6,0.9944893587243432,-0.9725469663123344,2024-04-23 09:03
enriched_sign_scaled_MLPRegressor,622543503663110.9,0.9928275068113344,-0.9726147732052126,2024-04-23 09:03
scaled_LinearRegression,1.0073792092174254e+40,125237334347997.31,-2.2544170210666453e+26,2024-04-23 09:03
enriched_scaled_LinearRegression,3.2389617609088786e+41,49609323631405.77,-1.5481435688361472e+27,2024-04-23 09:03
