model,mse,mape,r2,timestamp
LR significant features,269534142416486.7,111.26658613059048,-0.2448366190948577,2024-04-23 09:00
LR budget + cast_fb_likes,275560396404869.2,119.5754579813734,-0.2069640254639217,2024-04-23 08:56
LR all features,282105808839983.94,114.31802270760122,-0.5565869524305127,2024-04-23 08:57
LR_budget,288317598581402.8,151.77665061887583,-0.3673884953279839,2024-04-23 08:54
RF significant features,326879072315486.1,211.18832589757784,-1.4136007846918333,2024-04-24 09:32
RF all features,331239483198597.1,226.11764196192445,-1.7416505557131057,2024-04-24 09:32
LR_cast_fb_likes,380340593916303.3,220.9901821002332,-1.359902331849805,2024-04-23 08:56
KN significant features,381852066249731.4,117.36775095004676,-0.9924149209485544,2024-04-24 09:35
KN budget and fb likes,383447716505649.4,138.957905545003,-0.7261718107927778,2024-04-24 09:34
KN all features,383838754771845.8,117.37446420667273,-0.9982521656492768,2024-04-24 09:35
KN budget,398588617739736.25,141.08504577686645,-0.8273686080200223,2024-04-24 09:34
RF budget and cast fb likes,404511393237538.4,163.85716792346074,-1.122734359708724,2024-04-24 09:31
LR gdp_md,404838765803785.6,254.83559275752268,-1.975262466381728,2024-04-24 09:39
RF budget,490119788595171.4,74.16314765520123,-1.1662784055733106,2024-04-24 09:28
RF cast fb likes,536782497875377.2,222.32766173336103,-2.234987596623886,2024-04-24 09:31
